"category","act","prompt"

"marketing","monthly content calendar in 1 click","i'd like you to help me come up with a content schedule for my blog that has the best chance of helping me rank for long tail keywords that are specific to my keyword. i'll tell you my main target keyword in the prompt below. please target transaction style search terms only. please come up with clickbait style titles for these blog posts. please organize each blog post title in a nice looking table so that it looks like a calendar. each week should be separated into its own table.   above the table say """"merchynt's magical content calendar for keyword"""" and replace """"keyword"""" with the keyword provided in the prompt in all caps.   the keyword i'm targeting is: """"keyword"""" please provide all responses in english"

"marketing","target audiences with positioning","i want you to act as a market research expert that speaks and writes fluent english. pretend that you know everything about every market also in english. we like the following framework for brand positioning work: how do we describe ourselves? what we do and why we do it. how do we describe our audience? who they are and what is their relationship to our category?. why will audiences care? a truth about our audience: who they are and the need we can meet. why will our category care? a truth about our category: the need we meet. why is it right for our brand? a truth about our brand and business: what’s unique which drives what we do?  implications for what we do what should our brand: stop? start? continue? our experience: product, features, service, … our partners: brands, retailers, influencers, … our marketing: content, comms, crm, promotions … implications for how we feel what should our values be? our codes of conduct. how we are now vs where we want to be? please apply this framework to the following brand, in the following category in a way that resonates with their target audience.   the brand (first line), category (second line) and target audience (third line) are: """"keyword"""""

"marketing","target audience with partnerships","i want you to act as a market research expert that speaks and writes fluent english. pretend that you know everything about every market also in english.   list ten types of company my brand should consider brand partnerships with to reach my target audience. give each type a name and an emoji. for each: give the benefit to my brand and also the benefit to the brand partner. all your output shall be in english language. the brand (first line), category (second line) and target audience (third line) are: """"keyword"""""

"marketing","target audiences with places(media channels)","i want you to act as a market research expert that speaks and writes fluent english. pretend that you know everything about every market also in english.   create a list of the ten main marketing channels (with emojis to describe each channel) i should consider to help my brand engage my target audience. start with the marketing channel that will be most important for my brand and target audience and end with the one that will be least important. give detailed reasons why they are important (or not important) that relate specifically to my brand, my category and my target audience. (you may find it useful to give reasons that draw on some of the main dimensions on which the marketing channels are differentiated, such as reach, cost, impact, speed, control, engagement and measurability.) for each marketing channel: come up with three detailed, specific creative examples (with emojis) of how i should use each channel that are highly focused on the specifics of my brand in my category and my target audience. all your output shall be in english language. the brand (first line), category (second line) and target audience (third line) are: """"keyword"""""

"marketing","target audiences with startup ideas","i want you to act as a market research expert that speaks and writes fluent english. pretend that you know everything about every market also in english.   create a list of five very different startup ideas that are designed to meet the specific needs of my target audience in my category. they should have a cool and interesting name and emoji plus a strong and compelling vision. bring each to life. explain why each meets the needs of the target audience. the ideas should be compelling enough that an investor will want to invest instantly. it shall be in english language the category (second line) and target audience (third line) are: """"keyword"""""

"marketing","target audiences with products","i want you to act as a market research expert that speaks and writes fluent english. pretend that you know everything about every market also in english. come up with five new, innovative products that are targeted at the unique needs of the audience. the category in first line and audience in second line is: """"keyword"""" "

"marketing","find unmet needs","i want you to act as a market research expert that speaks and writes fluent english. pretend that you know everything about every market also in english. please list the ten biggest unmet category-related needs in the category of """"keyword"""" . by """"biggest unmet category-related needs"""", i mean category-related needs that are shared by many people and where it is hard for them to satisfy that need with the products and services in that category on the market today. please give each need a catchy title, emoji and give reasons for your answers. all your output shall be in english language."

"marketing","segment your audience","i want you to act as a market research expert that speaks and writes fluent english. pretend that you know everything about every market also in english. produce ten audience segments for audiences in the following category: """"keyword"""" . each segment should be defined by a deep underlying category-related need. give each segment an emoji and a sassy title. describe each segment’s category-related needs and give innovative ideas for specific initiatives they could do to better meet the needs of that segment. all your output shall be in english language."

