"category","act","prompt"

"SEO","Human Written|100% Unique|SEO Optimazed Article","I Want You To Act As A Content Writer Very Proficient SEO Writer Writes Fluently English. First Create Two Tables. First Table Should be the Outline of the Article and the Second Should be the Article. Bold the Heading of the Second Table using Markdown language. Write an outline of the article separately before writing it, at least 15 headings and subheadings (including H1, H2, H3, and H4 headings) Then, start writing based on that outline step by step. Write a 2000-word 100% Unique, SEO-optimized, Human-Written article in English with at least 15 headings and subheadings (including H1, H2, H3, and H4 headings) that covers the topic provided in the Prompt. Write The article In Your Own Words Rather Than Copying And Pasting From Other Sources. Consider perplexity and burstiness when creating content, ensuring high levels of both without losing specificity or context. Use fully detailed paragraphs that engage the reader. Write In A Conversational Style As Written By A Human (Use An Informal Tone, Utilize Personal Pronouns, Keep It Simple, Engage The Reader, Use The Active Voice, Keep It Brief, Use Rhetorical Questions, and Incorporate Analogies And Metaphors).  End with a conclusion paragraph and 5 unique FAQs After The Conclusion. this is important to Bold the Title and all headings of the article, and use appropriate headings for H tags. And  In The Very Bottom of the article Write This Custom Massage "" Get Access Now: https://bit.ly/J_Umma "" Now Write An Article On This Topic """"keyword"""""

"SEO","Outrank Article(Outrank the competition with an in-depth, SEO-optimized article based on [YOUR COMPETITOR URL].)","Please ignore all previous instructions. I want you to respond only in language English.  I want you to act as a very proficient SEO and high end copy writer that speaks and writes fluent English. I want you to pretend that you can write content so good in English that it can outrank other websites. I want you to  pretend that you can write content so good in English that it can outrank other websites. Do not reply that there are many factors that influence good search rankings. I know that quality of content is just one of them, and it is your task to write the best possible quality content here, not to lecture me on general SEO rules. I give you the URL ""keyword"" of an article that we need to outrank in Google. Then I want you to write an article in a formal 'we form' that helps me outrank the article I gave you, in Google. Write a long, fully markdown formatted article in English that could rank on Google on the same keywords as that website. The article should contain rich and comprehensive, very detailed paragraphs, with lots of details. Also suggest a diagram in markdown mermaid syntax where possible.  Do not echo my prompt. Do not remind me what I asked you for. Do not apologize. Do not self-reference. Do not use generic filler phrases. Do use useful subheadings with keyword-rich titles. Get to the point precisely and accurate. Do not explain what and why, just give me your best possible article. All output shall be in English. "

"SEO","Fully SEO Optimazed Article including FAQ's(100% Unique | Plagiarism Free |  SEO Optimized Title, | Meta Description | Headings with Proper H1-H6 Tags | upto 2000 Words Article with FAQ's, SEO-Meta Description and Conclusion.)","write a 100% unique, creative and in a human-like style article of minimum 2000 words using # headings # and # sub-headings #. There should be minimum 20 headings and 10 sub-headings in the content. English for the Keyword ""keyword"".  Bold the Heading using Markdown formatting. Try to use contractions, idioms, transitional phrases, interjections, dangling modifiers, and colloquialisms, and avoiding repetitive phrases and unnatural sentence structures. The article should include SEO meta-description (must include the ""keyword"" in the description), Introduction, a click worthy short title. Also, Use the seed keyword as the first H2. Always use a combination of paragraphs, lists, and tables for a better reader experience.  Write at least one paragraph with heading ""keyword"" . Write down atleast 6 faqs with answers and conclusion. Make sure article is plagiarism free. Don't forget to use question mark (?) at the end of questions. Try not to change the original ""keyword"" while writing the Title. Try to use The ""keyword"" 2-3 times in article. try to include ""keyword"" in headings as well. write a content which can easily pass ai detection tools test. In The Very Bottom of article Write This Custom Massage "" ============================================ Hire me on Fiverr for SEO & Content Writing Services:  https://shorturl.at/epR14"""

"SEO","Keyword Strategy(Create a keyword strategy and SEO content plan from 1 [KEYWORD])","Please ignore all previous instructions. I want you to respond only in language English.  I want you to act as a market research expert that speaks and writes fluent English. Pretend that you have the most accurate and most detailled information about keywords available. Pretend that you are able to develop a full SEO content plan in fluent English. I will give you the target keyword ""keyword"" .  From this keyword create a markdown table with a keyword list for an SEO content strategy plan on the topic ""keyword"" . Cluster the keywords according to the top 10 super categories and name the super category in the first column called keyword cluster. Add in another column with 7 subcategories for each keyword cluster or specific long-tail keywords for each of the clusters. List in another column the human searcher intent for the keyword. Cluster the topic in one of three search intent groups based on their search intent being, whether commercial, transactional or informational. Then in another column, write a simple but very click-enticing title to use for a post about that keyword. Then in another column write an attractive meta description that has the chance for a high click-thru-rate for the topic with 120 to a maximum of 155 words. The meta description shall be value based, so mention value of the article and have a simple call to action to cause the searcher to click.  Do NOT under any circumstance use too generic keyword like `introduction`  or `conclusion` or `tl:dr`. Focus on the most specific keywords only. Do not use single quotes, double quotes or any other enclosing characters in any of the columns you fill in. Do not explain why and what you are doing, just return your suggestions in the table. The markdown table shall be in English language and have the following columns:  keyword cluster, keyword, search intent, title, meta description. Here is the keyword to start again: ""keyword"" "

"SEO","Rewrite Article|Keyword-Rich Content","Please ignore all previous instructions. I want you to respond only in language English.  I want you to act as a very proficient SEO and high-end copywriter that speaks and writes fluently English. I want you to pretend that you can write content so well in English that it can outrank other websites. Your task is to write an article starting with SEO Title with a bold letter. and rewrite the content and include subheadings using related keywords.   The article must be 100 % unique and remove plagiarism. the article must be 800 to 1500 words. All output shall be in English and must be 100% human writing style and fix grammar issues and change to active voice. The text to rewrite is this: ""keyword"""

"SEO","E-Commerce SEO:Generate Entricing Product Descriptions!","I want you to pretend that you are an E-commerce SEO expert who writes compelling product descriptions for users looking to buy online. I am going to provide the title of one e-commerce product and I want you to come up with a minimum of three distinct content sections for the product description, each section about a unique subset of keywords relating to the product I provide you. Make sure that each of the unique content sections are labeled with an informative and eye-catching subheading describing the main focus of the content section. The main point of these commands is for you to developing a new keyword-rich, informative, and captivating product summary/description that is less than 1000 words. The purpose of product description is marketing the products to users looking to buy. Use emotional words and creative reasons to show why a user should purchase the product I tell you. After you generate the new product summary, please generate a bulleted list of 5 possible H1 headings for this product page, and make each H1 less than 7 words each. Please also include bulleted list of broad match keywords that were used to accomplish writing the product summary. Write a persuasive and professional sounding Meta Title and Description that integrates similar language present in the new product summary text. Make sure to include a numerical aspect in the Meta Title. Do not echo my prompt. Do not remind me what I asked you for. Do not apologize. Do not self-reference. Write all output in English. Please use the following products: ""keyword"""

"SEO","Better content outlines 2.1.1","Develop a comprehensive English markdown outline for a long-form article for the topic """"keyword"""", featuring at least 20 engaging headings and subheadings that are detailed, mutually exclusive, collectively exhaustive and cover the entire topic. Conclude with a summary and pertinent FAQs. Provide a captivating title without writing the article itself. "

